Tract,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,High Cost,Tribal,ISP Desert,ACP Desert
05131000400,3097,1008,519,18,124,0,1170,33.9,29434,56,346,99,130,0,0,404,663,1247,566,681,506,0,949,120,178,998,998,848,210,77,30,222,185,437,381,99,78,2408,0,6,152,531,394,56,2000,2972,1247,597,0,3966.45,6,4,360 Communications INC -- Ritter Communications Inc. -- T-Mobile US -- Cox Communications -- Dobson Fiber -- AT&T Inc,0,0,1,1
05131000501,5506,2350,508,0,111,0,2662,29.3,36809,152,833,82,163,86,0,735,1281,1897,923,974,867,0,1492,185,220,1523,1523,1345,307,256,129,336,262,261,231,296,283,4211,0,20,389,886,1032,77,3078,4965,1897,907,0,5526.74,7,5,360 Communications INC -- Ritter Communications Inc. -- T-Mobile US -- Cox Communications -- Verizon -- Dobson Fiber -- AT&T Inc,0,0,1,1
05131000502,2761,1094,372,82,332,0,1086,36.6,54259,12,375,138,110,45,5,195,458,1030,746,284,355,0,814,123,93,846,846,651,184,41,17,32,21,263,247,129,119,2031,0,44,190,496,436,161,1754,2603,1030,505,0,2763.73,5,3,360 Communications INC -- Ritter Communications Inc. -- Cox Communications -- Dobson Fiber -- AT&T Inc,0,0,1,1
05131000600,4990,4317,142,15,84,0,273,43.3,54402,0,553,248,784,268,91,207,417,2310,1155,1155,502,0,1827,320,163,1827,1827,1641,428,150,68,318,212,378,230,230,192,4934,0,0,56,0,0,30,3601,4781,2310,583,0,1041.57,7,5,360 Communications INC -- Ritter Communications Inc. -- T-Mobile US -- Cox Communications -- Verizon -- Dobson Fiber -- AT&T Inc,0,0,1,1
05131000700,4758,3047,360,57,114,11,984,33.5,43779,97,935,124,231,42,125,301,436,2045,658,1387,501,0,1393,363,289,1415,1415,1274,602,160,126,300,237,308,75,527,412,4218,0,52,153,335,451,24,2872,4597,2045,609,0,3925.94,6,4,360 Communications INC -- Ritter Communications Inc. -- T-Mobile US -- Cox Communications -- Dobson Fiber -- AT&T Inc,0,0,1,1
05131000800,4138,2703,424,8,33,0,892,35.2,30090,0,562,355,271,81,19,550,650,1899,614,1285,493,0,1196,472,231,1238,1238,927,628,157,98,498,201,437,355,176,91,3784,0,76,134,144,194,9,2653,3784,1899,850,0,4611.49,7,5,360 Communications INC -- Ritter Communications Inc. -- T-Mobile US -- Cox Communications -- Verizon -- Dobson Fiber -- AT&T Inc,0,0,1,1
05131001001,4403,3165,368,18,184,142,476,34.5,46307,68,925,298,449,79,0,497,562,2038,766,1272,694,0,1774,142,122,1810,1810,1424,198,67,53,264,247,429,305,389,368,4033,0,44,90,236,105,68,3034,4045,2038,1066,0,3639.24,7,5,360 Communications INC -- Ritter Communications Inc. -- T-Mobile US -- Cox Communications -- Verizon -- Dobson Fiber -- AT&T Inc,0,0,1,1
05131001002,2461,2143,59,13,0,0,153,43.1,94104,0,230,76,539,207,103,72,98,1021,813,208,260,0,946,55,20,953,953,813,55,8,8,48,28,112,104,107,75,2380,0,3,27,51,38,16,1800,2357,1021,355,0,2516.17,5,5,360 Communications INC -- T-Mobile US -- Cox Communications -- Verizon -- AT&T Inc,0,0,1,1
05131001101,4426,3049,671,124,150,0,380,35.4,54310,17,641,143,570,309,27,68,177,1930,799,1131,599,0,1791,99,40,1791,1791,1587,118,21,21,115,104,285,254,401,380,4257,14,11,67,77,115,51,2958,4121,1930,472,0,1834.6,7,5,360 Communications INC -- Ritter Communications Inc. -- T-Mobile US -- Cox Communications -- Verizon -- Dobson Fiber -- AT&T Inc,0,0,1,1
05131001102,3370,2155,364,28,102,0,633,33.3,58567,65,374,203,487,92,92,173,263,1430,555,875,394,0,1262,116,52,1272,1272,1158,158,37,19,80,45,250,212,262,200,3173,0,84,74,39,59,13,2289,3271,1430,343,0,662.32,8,5,UPN -- 360 Communications INC -- Ritter Communications Inc. -- T-Mobile US -- Cox Communications -- Verizon -- Dobson Fiber -- AT&T Inc,0,0,1,1
