Data Month,state,Net New Enrollments Alternative Verification Process,Net New Enrollments Verified by School,Net New Enrollments Lifeline,Net New Enrollments National Verifier Application,Net New Enrollments Total,Total Alternative Verification Process,Total Verified by School,Total Lifeline,Total National Verifier Application,Total Subscribers
2023-04-01,54,61,0,-511,4304,3855,4189,19,45578,48806,98593
2023-05-01,54,56,1,-1042,5900,4914,4245,20,44536,54706,103507
2023-06-01,54,118,1,-577,4833,4375,4374,21,45011,60589,109997
2023-07-01,54,53,0,-576,3800,3277,4416,21,43374,63259,111072
2023-08-01,54,90,0,-462,3446,3074,4506,21,42912,66705,114146
2023-09-23,54,72,0,-576,3218,2713,4578,21,42336,69923,116859
2023-10-01,54,-243,-2,-1110,1554,199,4344,19,42151,72818,119333
2023-11-01,54,18,-1,-1999,3025,1043,4355,18,39261,74494,118128
2023-12-01,54,-41,0,-1172,5409,4195,4314,18,38088,79903,122324
2022-01-01,55,3705,3,2079,3046,8833,57409,39,72121,39862,169431
2022-02-01,55,5342,2,3103,2663,11110,62751,41,75224,42525,180541
2022-03-01,55,6660,-4,4779,2705,14140,69411,37,80002,45231,194681
2022-04-01,55,5689,-5,-4116,1797,3365,75100,32,75885,47026,198043
2022-05-01,55,6923,-1,1434,3532,11888,82023,31,77319,50558,209931
2022-06-01,55,6661,0,3085,3335,13081,88684,31,80404,53892,223011
2022-07-01,55,9703,-10,2595,2628,14916,98387,21,82998,56520,237926
2022-08-01,55,8532,-1,155,4838,13524,106919,20,83153,61358,251450
2022-09-01,55,8207,0,679,4993,13879,115126,20,83832,66351,265329
2022-10-01,55,5730,0,1277,5554,12561,120856,20,85109,71905,277890
2022-11-01,55,5484,0,714,2768,8966,126340,20,85823,74673,286856
2022-12-01,55,7351,-1,-1841,4579,10088,133691,19,83982,79252,296944
2023-01-01,55,4771,0,1115,4815,10701,138462,19,85097,84067,307645
2023-02-01,55,7296,-2,-797,4448,10945,145758,17,84300,88515,318589
2023-03-01,55,6592,0,-1776,7858,12674,152350,17,82524,96373,331264
2023-04-01,55,5646,0,-1287,8814,13173,157996,17,81237,105187,344437
2023-05-01,55,4525,-1,-5,8166,12685,162521,16,81232,113353,357122
2023-06-01,55,6314,-1,1326,6771,14410,168856,15,82572,120178,371621
2023-07-01,55,4064,1,1055,5911,11031,172898,16,83613,126031,382558
2023-08-01,55,5289,-1,1276,9141,15705,178187,15,84889,135172,398263
2023-09-23,55,4972,1,-404,7967,12536,183159,16,84485,143139,410798
2023-10-01,55,1497,-3,-2073,3141,2562,184680,13,82426,146350,413469
2023-11-01,55,-342,-1,-3276,5782,2163,184314,12,79138,152064,415528
2023-12-01,55,-1736,0,-2967,10786,6083,182578,12,76171,162850,421611
2022-01-01,56,329,0,2,173,504,3690,2,42,1596,5330
2022-02-01,56,421,0,3,157,581,4111,2,45,1753,5911
2022-03-01,56,421,2,11,219,653,4532,4,56,1972,6565
2022-04-01,56,363,0,10,285,658,4895,4,66,2257,7222
2022-05-01,56,453,0,7,351,811,5348,4,73,2608,8032
2022-06-01,56,680,0,2,251,933,6028,4,75,2857,8964
2022-07-01,56,709,0,6,213,928,6737,4,81,3070,9891
2022-08-01,56,604,1,-2,283,886,7341,5,79,3353,10777
2022-09-01,56,545,0,21,221,787,7885,5,100,3574,11564
2022-10-01,56,428,0,37,286,751,8313,5,136,3861,12315
2022-11-01,56,377,0,31,168,576,8690,5,167,4028,12891
2022-12-01,56,547,0,-6,294,836,9237,5,161,4323,13726
2023-01-01,56,298,0,81,411,790,9535,5,242,4733,14516
2023-02-01,56,453,0,120,257,830,9988,5,363,4998,15353
2023-03-01,56,440,0,78,272,790,10428,5,441,5269,16142
2023-04-01,56,445,0,67,228,739,10873,5,507,5496,16882
2023-05-01,56,333,0,26,297,656,11206,5,532,5793,17537
2023-06-01,56,500,-1,-3,253,749,11706,4,529,6051,18291
2023-07-01,56,364,0,24,578,966,12070,4,553,6625,19252
2023-08-01,56,430,0,25,379,834,12500,4,578,7004,20086
2023-09-23,56,418,0,10,171,599,12918,4,588,7175,20685
2023-10-01,56,134,0,5,30,168,13052,4,594,7209,20859
2023-11-01,56,-10,0,-17,229,203,13042,4,576,7433,21056
2023-12-01,56,-129,1,13,365,250,12913,5,589,7798,21306
2022-01-01,72,-19,0,22792,4297,27070,628,2,287489,101999,390118
2022-02-01,72,-490,0,26888,5311,31709,138,2,314377,107310,421827
2022-03-01,72,-12,0,24388,6231,30607,126,2,338765,113541,452434
2022-04-01,72,-13,0,8885,3895,12767,113,2,347650,117436,465201
2022-05-01,72,-3,0,9374,6059,15430,110,2,357024,123495,480631
2022-06-01,72,-10,1,9601,6901,16493,100,3,366625,130396,497124
2022-07-01,72,-4,0,-32745,6258,-26491,96,3,333880,136654,470633
2022-08-01,72,-3,0,-246,10290,10041,93,3,333634,146944,480674
2022-09-01,72,-1,0,3536,13156,16691,92,3,337170,160100,497365
2022-10-01,72,-2,0,13983,13199,27180,90,3,351153,173299,524545
2022-11-01,72,-6,0,11779,11764,23537,84,3,362932,185063,548082
2022-12-01,72,-1,0,7599,10306,17904,83,3,370531,195369,565986
2023-01-01,72,-2,2,-29789,7289,-22500,81,5,340742,202658,543486
2023-02-01,72,-2,0,2519,10183,12700,79,5,343261,212841,556186
2023-03-01,72,-15,0,-1647,5725,4063,64,5,341614,218566,560249
2023-04-01,72,1,0,-750,13003,12254,65,5,340864,231569,572503
2023-05-01,72,-1,0,-1035,14278,13242,64,5,339829,245847,585745
2023-06-01,72,1,0,1385,12028,13414,65,5,342303,258507,600880
2023-07-01,72,-1,0,-33,8402,8368,64,5,341162,266248,607479
2023-08-01,72,-6,0,6425,7652,14071,58,5,347587,273900,621550
2023-09-23,72,-1,0,4480,9791,14270,57,5,352067,283691,635820
2023-10-01,72,0,0,-16556,-1616,-18172,57,5,336627,282748,619437
2023-11-01,72,-5,0,5787,9069,14851,52,5,341346,291140,632543
2023-12-01,72,1,0,2252,9198,11451,53,5,343598,300338,643994
