geography_id,geography_desc,geography_desc_full,total_units,"Calculated percentage of units for broadband serviceable locations contained within the geography for which providers report residential fixed broadband service with Copper, Cable, Fiber to the Premises, or Licensed Fixed Wireless technology and speeds of at least 25 / 3 Mbps."
29131,Miller County,"Miller County, MO",15439,0.80479997
5069,Jefferson County,"Jefferson County, AR",37954,0.80500001
56005,Campbell County,"Campbell County, WY",24168,0.80500001
37161,Rutherford County,"Rutherford County, NC",40253,0.80510002
48079,Cochran County,"Cochran County, TX",1905,0.80519998
13267,Tattnall County,"Tattnall County, GA",10906,0.8053
42033,Clearfield County,"Clearfield County, PA",47747,0.80589998
13149,Heard County,"Heard County, GA",5821,0.80620003
41035,Klamath County,"Klamath County, OR",40029,0.80620003
18045,Fountain County,"Fountain County, IN",9967,0.8064
56023,Lincoln County,"Lincoln County, WY",12018,0.80650002
39059,Guernsey County,"Guernsey County, OH",24868,0.80669999
30029,Flathead County,"Flathead County, MT",68240,0.8071
37013,Beaufort County,"Beaufort County, NC",32054,0.80729997
28145,Union County,"Union County, MS",15306,0.8075
31087,Hitchcock County,"Hitchcock County, NE",2309,0.80769998
21217,Taylor County,"Taylor County, KY",13300,0.80800003
27137,St. Louis County,"St. Louis County, MN",122324,0.80809999
13177,Lee County,"Lee County, GA",14810,0.80839998
47013,Campbell County,"Campbell County, TN",23475,0.80839998
12001,Alachua County,"Alachua County, FL",166614,0.80849999
6103,Tehama County,"Tehama County, CA",34201,0.80860001
5077,Lee County,"Lee County, AR",5322,0.80870003
13253,Seminole County,"Seminole County, GA",6373,0.80940002
5145,White County,"White County, AR",40218,0.80949998
40011,Blaine County,"Blaine County, OK",6755,0.80949998
2090,Fairbanks North Star Borough,"Fairbanks North Star Borough, AK",54762,0.8096
29113,Lincoln County,"Lincoln County, MO",27057,0.80970001
41009,Columbia County,"Columbia County, OR",24531,0.80970001
21095,Harlan County,"Harlan County, KY",15997,0.80980003
51163,Rockbridge County,"Rockbridge County, VA",13752,0.80980003
56045,Weston County,"Weston County, WY",4256,0.80989999
48269,King County,"King County, TX",321,0.81
21075,Fulton County,"Fulton County, KY",3933,0.81010002
8019,Clear Creek County,"Clear Creek County, CO",6533,0.81029999
