State FIPS,State Name,Census Block Group,High Cost Block Group
30,Montana,300530005003,High Cost
30,Montana,300650001003,High Cost
30,Montana,300670005002,High Cost
30,Montana,300679806001,High Cost
30,Montana,300770002006,High Cost
30,Montana,300810008001,High Cost
30,Montana,300859400011,High Cost
30,Montana,300899403001,High Cost
30,Montana,300930008001,High Cost
30,Montana,300959664001,High Cost
30,Montana,301090001001,High Cost
31,Nebraska,310119601001,High Cost
31,Nebraska,310379647001,High Cost
31,Nebraska,311199613002,High Cost
31,Nebraska,311259661004,High Cost
31,Nebraska,311759713001,High Cost
32,Nevada,320030055013,High Cost
32,Nevada,320030058181,High Cost
32,Nevada,320030075001,High Cost
32,Nevada,320030078021,High Cost
32,Nevada,320099501001,High Cost
32,Nevada,320110001001,High Cost
32,Nevada,320150003021,High Cost
32,Nevada,320150003023,High Cost
32,Nevada,320199602062,High Cost
32,Nevada,320219708001,High Cost
32,Nevada,320219708002,High Cost
32,Nevada,320239602001,High Cost
32,Nevada,320239805001,High Cost
32,Nevada,320279601001,High Cost
32,Nevada,320279601002,High Cost
32,Nevada,320310035013,High Cost
32,Nevada,320319802001,High Cost
32,Nevada,320339701001,High Cost
32,Nevada,320339702003,High Cost
32,Nevada,320339702004,High Cost
32,Nevada,325100006013,High Cost
34,New Jersey,340076092053,High Cost
34,New Jersey,340110104021,High Cost
34,New Jersey,340258099031,High Cost
35,New Mexico,350010037413,High Cost
35,New Mexico,350010037421,High Cost
35,New Mexico,350019408001,High Cost
35,New Mexico,350019408004,High Cost
35,New Mexico,350039764021,High Cost
35,New Mexico,350050012002,High Cost
35,New Mexico,350069458001,High Cost
35,New Mexico,350150008001,High Cost
35,New Mexico,350319435001,High Cost
35,New Mexico,350319437021,High Cost
35,New Mexico,350319437022,High Cost
35,New Mexico,350319440001,High Cost
35,New Mexico,350319460032,High Cost
35,New Mexico,350350006011,High Cost
35,New Mexico,350350009044,High Cost
35,New Mexico,350439409001,High Cost
35,New Mexico,350490103101,High Cost
35,New Mexico,350499802001,High Cost
35,New Mexico,350519624022,High Cost
35,New Mexico,350539781001,High Cost
35,New Mexico,350539782001,High Cost
35,New Mexico,350559523003,High Cost
35,New Mexico,350579637002,High Cost
35,New Mexico,350579800001,High Cost
36,New York,360050001001,High Cost
36,New York,360050019042,High Cost
36,New York,360050516021,High Cost
36,New York,360270601005,High Cost
36,New York,360299401001,High Cost
36,New York,360510310001,High Cost
36,New York,360550038073,High Cost
36,New York,360811072021,High Cost
36,New York,360850154001,High Cost
37,North Carolina,370779707041,High Cost
37,North Carolina,370879801001,High Cost
37,North Carolina,371419205011,High Cost
37,North Carolina,371739802001,High Cost
40,Oklahoma,400055876001,High Cost
40,Oklahoma,400099665001,High Cost
40,Oklahoma,400510007011,High Cost
40,Oklahoma,400579678001,High Cost
40,Oklahoma,400659683001,High Cost
40,Oklahoma,400759642001,High Cost
40,Oklahoma,400790406012,High Cost
40,Oklahoma,400790406021,High Cost
40,Oklahoma,400890982002,High Cost
40,Oklahoma,400939552002,High Cost
40,Oklahoma,401039566001,High Cost
40,Oklahoma,401139400041,High Cost
40,Oklahoma,401139400043,High Cost
40,Oklahoma,401179574001,High Cost
40,Oklahoma,401299600001,High Cost
40,Oklahoma,401370009021,High Cost
40,Oklahoma,401519542013,High Cost
41,Oregon,410019503003,High Cost
41,Oregon,410059800001,High Cost
41,Oregon,410110002002,High Cost
41,Oregon,410139504021,High Cost
41,Oregon,410192100001,High Cost
41,Oregon,410239601001,High Cost
41,Oregon,410239602011,High Cost
41,Oregon,410259602001,High Cost
41,Oregon,410259602002,High Cost
41,Oregon,410290023001,High Cost
41,Oregon,410290025002,High Cost
41,Oregon,410319601002,High Cost
41,Oregon,410319603031,High Cost
41,Oregon,410333609002,High Cost
41,Oregon,410359702011,High Cost
