metdiv20,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
11694,151,0,0,0,0,0,0,0,0,0,5041,0,0,0,5041,0,22524,71
11694,153,0,0,1,0,0,0,0,0,0,15625,0,0,15625,15625,0,22931,125
11694,154,0,0,0,0,0,0,0,0,0,77841,0,77841,77841,77841,0,22514,279
11694,155,0,0,0,0,0,10404,0,0,0,10404,10404,0,0,0,0,31582,102
11694,155,0,0,0,1,0,27889,0,0,0,27889,0,0,27889,0,0,47842,167
11694,156,0,0,1,0,0,0,0,0,0,9604,0,0,9604,9604,0,21367,98
11694,156,0,0,1,1,0,0,0,0,0,3721,0,0,0,3721,0,48259,61
11694,159,0,0,0,0,0,0,0,0,0,7921,0,0,0,0,0,59412,89
11694,159,0,0,0,0,0,0,0,0,0,140625,0,0,140625,0,0,28455,375
11694,160,0,0,0,0,0,0,0,0,0,3249,0,0,3249,0,0,28455,57
11694,161,0,0,0,0,0,0,0,0,0,19881,0,0,19881,0,0,22931,141
11694,162,0,0,0,0,0,0,0,0,0,4761,0,0,4761,0,0,29080,69
11694,162,1,0,1,0,0,0,0,0,0,4096,0,0,0,4096,0,37419,64
11694,164,0,0,1,0,0,0,0,0,0,0,900,0,900,900,900,23869,30
11694,166,0,0,0,0,0,0,0,0,0,51076,0,0,51076,51076,0,23765,226
11694,166,0,0,1,0,0,0,0,0,0,226576,0,0,226576,226576,0,32207,476
11694,168,0,0,0,0,0,0,0,0,0,6400,0,0,6400,0,0,23452,80
11694,168,0,0,0,0,0,0,0,0,0,6561,0,0,6561,0,0,24182,81
11694,168,0,0,1,0,0,0,0,0,0,30276,0,0,0,0,0,26058,174
11694,169,0,0,0,0,0,0,441,0,0,0,0,0,0,0,0,25015,21
11694,169,0,0,1,1,0,0,0,0,0,29929,0,0,0,29929,0,72962,173
11694,172,0,0,0,0,0,0,0,0,0,5929,0,0,0,0,0,44090,77
11694,173,0,0,0,0,0,10404,10404,0,0,10404,0,0,0,0,0,34396,102
11694,174,0,0,0,0,0,0,0,0,0,3844,0,0,3844,0,0,34396,62
11694,174,0,0,0,0,0,0,0,0,0,5625,0,0,0,5625,0,78173,75
11694,174,0,0,1,0,0,0,0,0,0,6084,0,0,0,6084,0,41692,78
11694,175,0,0,0,0,0,0,0,0,0,5625,0,5625,5625,0,0,31832,75
11694,175,0,0,1,0,0,0,0,0,0,18496,0,0,0,0,0,26058,136
11694,176,0,0,0,0,0,0,0,0,0,3721,0,3721,3721,3721,0,31165,61
11694,178,0,0,0,0,0,0,0,0,0,3721,0,0,3721,3721,0,25849,61
11694,179,0,0,0,0,0,0,0,0,0,8281,0,0,0,0,0,53158,91
11694,179,0,1,1,0,0,0,0,0,0,6561,0,6561,0,6561,0,65040,81
